source,target,weight
Aguiar Alves,Clemente,1
Aguiar Alves,Gambetti,1
Aguiar Alves,Bo,1
Aguiar Alves,Langlois,1
Aguiar Alves,Semeraro,1
Aguiar Alves,Maeda,1
Clemente,Mendonça,1
Clemente,Nichols,1
Clemente,Scherer,1
Clemente,Ouellet,1
Clemente,De Donatis,1
Clemente,You Heung-Sik,1
Clemente,Prevost,1
Clemente,García Rodríguez,1
Clemente,Woelki,1
Clemente,Rocha,1
Clemente,Arborelius,1
Clemente,Betori,1
Clemente,Nycz,1
Clemente,O'Malley,1
Clemente,Bustillo,1
Clemente,Aviz,1
Clemente,Porras Cardozo,1
Clemente,Petrocchi,1
Clemente,Advincula,1
De Donatis,Vallini,1
De Donatis,Reina,1
De Donatis,Stella,1
De Donatis,Feroci,1
De Donatis,Nichols,1
De Donatis,Scherer,1
De Donatis,Ouellet,1
De Donatis,Woelki,1
De Donatis,Sturla Berhouet,1
De Donatis,Nycz,1
De Donatis,Kutwa,1
De Donatis,Aviz,1
De Donatis,Fernández Artime,1
De Donatis,Vérgez Alzaga,1
De Donatis,Gambetti,1
De Donatis,Porras Cardozo,1
De Donatis,Petrocchi,1
De Donatis,Ghirlanda,1
De Donatis,Duka,1
De Donatis,Advincula,1
De Donatis,Do Carmo Da Silva,1
De Donatis,Filoni,1
De Donatis,García Rodríguez,1
De Donatis,Bo,1
De Donatis,Rocha,1
De Donatis,Lacroix,1
De Donatis,Arborelius,1
De Donatis,You Heung-Sik,1
De Donatis,Tobin,1
De Donatis,O'Malley,2
De Donatis,Steiner,1
De Donatis,Betori,1
De Donatis,Ladaria Ferrer,1
De Donatis,Rossi,1
De Donatis,Prevost,2
De Donatis,Tagle,1
De Donatis,Bustillo,1
De Donatis,Farrell,1
De Donatis,Ambongo Besungu,1
Vallini,Lojudice,1
Vallini,Frezza,1
Vallini,Tobin,1
Vallini,Gambetti,1
Vallini,Zuppi,1
Reina,Lojudice,1
Reina,Montenegro,1
Martínez Flores,O'Malley,1
Martínez Flores,Ramazzini Imeri,1
Martínez Flores,Rueda Aparicio,1
Martínez Flores,Prevost,1
Martínez Flores,Costa,1
Martínez Flores,Osoro Sierra,1
Martínez Flores,Lacunza Maestrojuán,1
Martínez Flores,Sturla Berhouet,1
Martínez Flores,Porras Cardozo,1
Martínez Flores,García Rodríguez,1
Martínez Flores,Rocha,1
Martínez Flores,Robles Ortega,1
Martínez Flores,Aguiar Retes,1
Martínez Flores,Tempesta,1
Martínez Flores,Aós Braco,1
O'Malley,Nichols,1
O'Malley,Scherer,1
O'Malley,Ouellet,2
O'Malley,Gambetti,1
O'Malley,Filoni,2
O'Malley,Onaiyekan,1
O'Malley,Bo,1
O'Malley,You Heung-Sik,1
O'Malley,Gugerotti,1
O'Malley,Prevost,3
O'Malley,Koch,1
O'Malley,Parolin,2
O'Malley,Mendonça,1
O'Malley,Fernández Artime,1
O'Malley,Vérgez Alzaga,2
O'Malley,Petrocchi,1
O'Malley,Advincula,1
O'Malley,Do Carmo Da Silva,1
O'Malley,Lacroix,2
O'Malley,Ladaria Ferrer,1
O'Malley,Bustillo,1
O'Malley,Woelki,1
O'Malley,Sturla Berhouet,1
O'Malley,Gracias,1
O'Malley,Nycz,1
O'Malley,Kutwa,1
O'Malley,Aviz,1
O'Malley,Porras Cardozo,1
O'Malley,Ghirlanda,2
O'Malley,Duka,1
O'Malley,García Rodríguez,1
O'Malley,Omella,1
O'Malley,Rocha,2
O'Malley,Tobin,1
O'Malley,Farrell,1
O'Malley,Hollerich,1
O'Malley,Ambongo Besungu,2
O'Malley,Fernández,1
O'Malley,Turkson,1
O'Malley,Semeraro,1
O'Malley,Mulla,1
O'Malley,Arborelius,1
O'Malley,Betori,1
O'Malley,Steiner,1
O'Malley,Schönborn,1
O'Malley,Rossi,1
O'Malley,Tagle,1
Lojudice,Nichols,1
Lojudice,Sandri,1
Lojudice,You Heung-Sik,1
Lojudice,Gugerotti,1
Lojudice,Prevost,1
Lojudice,Koch,1
Lojudice,Parolin,1
Lojudice,Mendonça,1
Lojudice,Advincula,1
Lojudice,Cobo Cano,1
Lojudice,Aveline,1
Lojudice,Roche,1
Lojudice,Tscherrig,1
Lojudice,Aviz,1
Lojudice,Ryś,1
Lojudice,Omella,1
Lojudice,Rocha,1
Lojudice,Arborelius,1
Lojudice,Tobin,1
Lojudice,Cupich,1
Lojudice,Grech,1
Lojudice,Cantoni,1
Lojudice,Fernández,1
Marto Dos Santos,Mendonça,2
Marto Dos Santos,Sarah,1
Marto Dos Santos,Mamberti,1
Marto Dos Santos,Filoni,1
Marto Dos Santos,Koch,1
Marto Dos Santos,Harvey,1
Marto Dos Santos,Petrocchi,1
Marto Dos Santos,Ryłko,1
Marto Dos Santos,Tscherrig,1
Marto Dos Santos,Montenegro,1
Marto Dos Santos,Piacenza,1
Marto Dos Santos,Semeraro,1
Marto Dos Santos,Betori,1
Marto Dos Santos,Burke,1
Marto Dos Santos,Brislin,1
Mendonça,Rugambwa,2
Mendonça,Sarah,3
Mendonça,Nichols,1
Mendonça,Krajewski,1
Mendonça,Scherer,2
Mendonça,Ouellet,2
Mendonça,Baldisseri,1
Mendonça,Sandri,1
Mendonça,Marengo,1
Mendonça,Mamberti,3
Mendonça,Czerny,1
Mendonça,Calcagno,1
Mendonça,Filoni,2
Mendonça,Onaiyekan,1
Mendonça,Bo,1
Mendonça,López Romero,1
Mendonça,You Heung-Sik,4
Mendonça,Gugerotti,4
Mendonça,Prevost,4
Mendonça,Koch,3
Mendonça,Parolin,4
Mendonça,Zuppi,1
Mendonça,Suharyo Hardjoatmodjo,1
Mendonça,Harvey,2
Mendonça,Mangkhanekhoun,1
Mendonça,Sako,1
Mendonça,Aveline,1
Mendonça,Patabendige Don,2
Mendonça,Woelki,1
Mendonça,Sturla Berhouet,2
Mendonça,Nycz,1
Mendonça,Roche,4
Mendonça,Kutwa,1
Mendonça,Tscherrig,3
Mendonça,Montenegro,1
Mendonça,Aviz,2
Mendonça,Ryś,2
Mendonça,Ghirlanda,2
Mendonça,Kovithavanij,1
Mendonça,Ouédraogo,2
Mendonça,Erdő,1
Mendonça,Omella,1
Mendonça,Njue,1
Mendonça,Robles Ortega,1
Mendonça,Rocha,1
Mendonça,Tobin,2
Mendonça,Dolan,1
Mendonça,Tsarahazana,2
Mendonça,Farrell,2
Mendonça,Hollerich,1
Mendonça,Nzapalainga,1
Mendonça,Kambanda,2
Mendonça,De Kesel,1
Mendonça,Cupich,2
Mendonça,Mafi,1
Mendonça,Piacenza,2
Mendonça,Bertello,1
Mendonça,Fernández,4
Mendonça,Turkson,3
Mendonça,Semeraro,3
Mendonça,Petrocchi,1
Mendonça,Aguiar Retes,1
Mendonça,Tempesta,2
Mendonça,Mulla,1
Mendonça,Advincula,1
Mendonça,Ryłko,1
Mendonça,Ferrão,1
Mendonça,Lacroix,2
Mendonça,Arborelius,1
Mendonça,Betori,1
Mendonça,Cobo Cano,1
Mendonça,Schönborn,2
Mendonça,Ladaria Ferrer,1
Mendonça,Rossi,1
Mendonça,Tagle,3
Mendonça,Bozanić,2
Mendonça,Grech,2
Mendonça,Burke,1
Mendonça,Furtado,2
Mendonça,Bertone,1
Mendonça,Cantoni,1
Mendonça,Lacunza Maestrojuán,1
Mendonça,Dew,2
Mendonça,Brislin,1
Mendonça,Aós Braco,2
Bocos Merino,Osoro Sierra,1
Bocos Merino,Blázquez Pérez,1
Osoro Sierra,Cobo Cano,1
Osoro Sierra,Sarah,1
Osoro Sierra,Nichols,1
Osoro Sierra,Ramazzini Imeri,1
Osoro Sierra,Souraphiel,1
Osoro Sierra,Filoni,1
Osoro Sierra,Rueda Aparicio,1
Osoro Sierra,Gugerotti,1
Osoro Sierra,Prevost,2
Osoro Sierra,Koch,1
Osoro Sierra,Costa,1
Osoro Sierra,Parolin,1
Osoro Sierra,Zuppi,1
Osoro Sierra,Sako,1
Osoro Sierra,Poli,1
Osoro Sierra,Sturla Berhouet,1
Osoro Sierra,Baselios,1
Osoro Sierra,Pizzaballa,1
Osoro Sierra,Collins,1
Osoro Sierra,Fernández,1
Osoro Sierra,Porras Cardozo,1
Osoro Sierra,Semeraro,1
Osoro Sierra,Aguiar Retes,1
Osoro Sierra,Tempesta,1
Osoro Sierra,García Rodríguez,1
Osoro Sierra,Erdő,1
Osoro Sierra,Rocha,1
Osoro Sierra,Arborelius,1
Osoro Sierra,Robles Ortega,1
Osoro Sierra,Dolan,1
Osoro Sierra,Schönborn,1
Osoro Sierra,Ladaria Ferrer,1
Osoro Sierra,Tagle,1
Osoro Sierra,Marx,1
Osoro Sierra,Lacunza Maestrojuán,1
Osoro Sierra,Zenari,1
Osoro Sierra,Raï,1
Osoro Sierra,Aós Braco,1
Osoro Sierra,Mureşan,1
Blázquez Pérez,Rouco Varela,1
Frezza,Gambetti,1
Tobin,Rodé,1
Tobin,Bertone,1
Tobin,Nichols,2
Tobin,Scherer,2
Tobin,Ouellet,1
Tobin,Sandri,2
Tobin,Czerny,1
Tobin,Gambetti,1
Tobin,Filoni,1
Tobin,Bo,1
Tobin,You Heung-Sik,2
Tobin,Gugerotti,3
Tobin,Prevost,3
Tobin,Koch,2
Tobin,Müller,1
Tobin,Costa,1
Tobin,Versaldi,1
Tobin,Parolin,1
Tobin,Harvey,1
Tobin,Sako,2
Tobin,Kambanda,1
Tobin,Fernández Artime,1
Tobin,Vérgez Alzaga,1
Tobin,Petrocchi,1
Tobin,Advincula,1
Tobin,Do Carmo Da Silva,1
Tobin,Lacroix,3
Tobin,Cobo Cano,1
Tobin,Ladaria Ferrer,3
Tobin,Lacunza Maestrojuán,1
Tobin,Ricard,1
Tobin,Aveline,1
Tobin,Woelki,1
Tobin,Sturla Berhouet,1
Tobin,Nycz,1
Tobin,Roche,2
Tobin,Kutwa,1
Tobin,Tscherrig,2
Tobin,Aviz,1
Tobin,Ryś,1
Tobin,Ghirlanda,1
Tobin,Duka,1
Tobin,Erdő,2
Tobin,Omella,1
Tobin,Rocha,1
Tobin,Tsarahazana,1
Tobin,Farrell,1
Tobin,Hollerich,1
Tobin,Ambongo Besungu,1
Tobin,De Kesel,1
Tobin,Pizzaballa,1
Tobin,Cupich,1
Tobin,Fernández,3
Tobin,Turkson,1
Tobin,Aguiar Retes,1
Tobin,Arborelius,3
Tobin,Steiner,1
Tobin,Rossi,1
Tobin,Tagle,2
Tobin,Marx,1
Tobin,Grech,3
Tobin,Burke,1
Tobin,Cantoni,1
Tobin,Dew,1
Tobin,Aós Braco,1
Gambetti,Mathieu,1
Gambetti,Sandri,1
Gambetti,Do Carmo Da Silva,1
Gambetti,Filoni,1
Gambetti,Bo,2
Gambetti,Lacroix,1
Gambetti,Sturla Berhouet,1
Gambetti,Steiner,1
Gambetti,Gugerotti,1
Gambetti,Roche,1
Gambetti,Kutwa,1
Gambetti,Ladaria Ferrer,1
Gambetti,Rossi,1
Gambetti,Prevost,2
Gambetti,Maeda,1
Gambetti,Tagle,1
Gambetti,Langlois,1
Gambetti,Fernández Artime,1
Gambetti,Vérgez Alzaga,1
Gambetti,Farrell,2
Gambetti,Semeraro,1
Gambetti,Ghirlanda,1
Gambetti,Duka,1
Gambetti,Ambongo Besungu,1
Zuppi,Rugambwa,1
Zuppi,Sarah,2
Zuppi,Nichols,1
Zuppi,Krajewski,1
Zuppi,Scherer,1
Zuppi,Baldisseri,1
Zuppi,Marengo,1
Zuppi,Mamberti,1
Zuppi,Czerny,1
Zuppi,Calcagno,1
Zuppi,Poola,1
Zuppi,Souraphiel,1
Zuppi,Filoni,1
Zuppi,You Heung-Sik,1
Zuppi,Gugerotti,2
Zuppi,Prevost,2
Zuppi,Barreto Jimeno,1
Zuppi,Koch,1
Zuppi,Parolin,2
Zuppi,Woelki,1
Zuppi,Patabendige Don,1
Zuppi,Sturla Berhouet,2
Zuppi,Roche,1
Zuppi,Kutwa,1
Zuppi,Tscherrig,1
Zuppi,Montenegro,1
Zuppi,Pierre,1
Zuppi,Ghirlanda,1
Zuppi,Kovithavanij,1
Zuppi,Ouédraogo,1
Zuppi,Erdő,1
Zuppi,Njue,1
Zuppi,Robles Ortega,1
Zuppi,Dolan,2
Zuppi,Tsarahazana,1
Zuppi,Zenari,1
Zuppi,Farrell,2
Zuppi,Nzapalainga,1
Zuppi,Suharyo Hardjoatmodjo,1
Zuppi,Harvey,2
Zuppi,Mureşan,1
Zuppi,Mangkhanekhoun,2
Zuppi,Sako,1
Zuppi,Poli,1
Zuppi,Kambanda,1
Zuppi,Baselios,1
Zuppi,Pizzaballa,1
Zuppi,Francis,1
Zuppi,Mafi,1
Zuppi,Mcelroy,1
Zuppi,Bertello,1
Zuppi,Collins,1
Zuppi,Fernández,2
Zuppi,Turkson,2
Zuppi,Semeraro,1
Zuppi,Tempesta,1
Zuppi,Ferrão,1
Zuppi,Arborelius,1
Zuppi,Schönborn,2
Zuppi,Tagle,3
Zuppi,Ladaria Ferrer,1
Zuppi,Marx,1
Zuppi,Bozanić,1
Zuppi,Furtado,1
Zuppi,Bertone,1
Zuppi,Dew,1
Zuppi,Raï,1
Rouco Varela,Cobo Cano,1
Cobo Cano,Nichols,1
Cobo Cano,Sandri,1
Cobo Cano,Ramazzini Imeri,1
Cobo Cano,You Heung-Sik,1
Cobo Cano,Gugerotti,1
Cobo Cano,Prevost,1
Cobo Cano,Koch,1
Cobo Cano,Parolin,1
Cobo Cano,Mcelroy,1
Cobo Cano,Advincula,1
Cobo Cano,Lacroix,1
Cobo Cano,Aveline,1
Cobo Cano,Roche,1
Cobo Cano,Cupich,1
Cobo Cano,Goh,1
Cobo Cano,Tscherrig,1
Cobo Cano,Aviz,1
Cobo Cano,Fernández,2
Cobo Cano,Porras Cardozo,1
Cobo Cano,Ryś,1
Cobo Cano,Omella,1
Cobo Cano,Rocha,1
Cobo Cano,Arborelius,1
Cobo Cano,Okpaleke,1
Cobo Cano,Grech,1
Cobo Cano,Cantoni,1
Cobo Cano,Farrell,1
Cobo Cano,Gregory,1
Montenegro,Sarah,1
Montenegro,Krajewski,1
Montenegro,Mamberti,1
Montenegro,Poola,1
Montenegro,Filoni,1
Montenegro,Barreto Jimeno,1
Montenegro,Koch,1
Montenegro,Harvey,1
Montenegro,Mangkhanekhoun,1
Montenegro,Francis,1
Montenegro,Mcelroy,1
Montenegro,Petrocchi,1
Montenegro,Ryłko,1
Montenegro,Tscherrig,1
Montenegro,Betori,1
Montenegro,Burke,1
Montenegro,Piacenza,1
Montenegro,Brislin,1
Montenegro,Semeraro,1
Gugerotti,Sandri,3
Gugerotti,Sarah,3
Gugerotti,Rugambwa,1
Gugerotti,Herranz,1
Gugerotti,Nichols,3
Gugerotti,Scherer,2
Gugerotti,Ouellet,3
Gugerotti,Baldisseri,1
Gugerotti,Marengo,1
Gugerotti,Mamberti,2
Gugerotti,Czerny,3
Gugerotti,Calcagno,1
Gugerotti,Souraphiel,1
Gugerotti,Filoni,2
Gugerotti,Onaiyekan,1
Gugerotti,López Romero,1
Gugerotti,You Heung-Sik,4
Gugerotti,Aveline,2
Gugerotti,Woelki,1
Gugerotti,Patabendige Don,1
Gugerotti,Sturla Berhouet,1
Gugerotti,Gracias,1
Gugerotti,Nycz,1
Gugerotti,Roche,4
Gugerotti,Kutwa,1
Gugerotti,Tscherrig,2
Gugerotti,Aviz,1
Gugerotti,Koovakad,1
Gugerotti,Ghirlanda,3
Gugerotti,Ryś,1
Gugerotti,Kovithavanij,1
Gugerotti,Ouédraogo,2
Gugerotti,Erdő,2
Gugerotti,Omella,1
Gugerotti,Njue,1
Gugerotti,Rocha,1
Gugerotti,Robles Ortega,1
Gugerotti,Coccopalmerio,1
Gugerotti,Dolan,2
Gugerotti,Prevost,7
Gugerotti,Koch,5
Gugerotti,Costa,1
Gugerotti,Tsarahazana,2
Gugerotti,Parolin,4
Gugerotti,Zenari,1
Gugerotti,Farrell,3
Gugerotti,Hollerich,2
Gugerotti,Suharyo Hardjoatmodjo,2
Gugerotti,Nzapalainga,2
Gugerotti,Harvey,1
Gugerotti,Mureşan,1
Gugerotti,Mangkhanekhoun,2
Gugerotti,Sako,3
Gugerotti,Poli,1
Gugerotti,Kambanda,2
Gugerotti,De Kesel,1
Gugerotti,Baselios,2
Gugerotti,Pizzaballa,2
Gugerotti,Cupich,1
Gugerotti,Mafi,1
Gugerotti,Bertello,1
Gugerotti,Collins,1
Gugerotti,Fernández,7
Gugerotti,Turkson,3
Gugerotti,Chow Sau-Yan,1
Gugerotti,Semeraro,2
Gugerotti,Aguiar Retes,1
Gugerotti,Tempesta,1
Gugerotti,Mulla,1
Gugerotti,Advincula,1
Gugerotti,Lacroix,1
Gugerotti,Ferrão,1
Gugerotti,Arborelius,3
Gugerotti,Schönborn,3
Gugerotti,Ladaria Ferrer,3
Gugerotti,Tagle,5
Gugerotti,Marx,1
Gugerotti,Bozanić,1
Gugerotti,Grech,2
Gugerotti,Furtado,1
Gugerotti,Bertone,1
Gugerotti,Cantoni,1
Gugerotti,Lacunza Maestrojuán,1
Gugerotti,Dew,2
Gugerotti,Raï,1
Gugerotti,Aós Braco,1
Gugerotti,Ricard,1
Sandri,Mathieu,1
Sandri,Re,1
Sandri,Pizzaballa,1
Sandri,Nichols,1
Sandri,Aveline,1
Sandri,Erdő,1
Sandri,Omella,1
Sandri,Rocha,1
Sandri,Arborelius,1
Sandri,You Heung-Sik,1
Sandri,Roche,2
Sandri,Cupich,1
Sandri,Prevost,2
Sandri,Tscherrig,2
Sandri,Koch,1
Sandri,Müller,1
Sandri,Grech,2
Sandri,Burke,1
Sandri,Aviz,1
Sandri,Cantoni,1
Sandri,Versaldi,1
Sandri,Fernández,1
Sandri,Parolin,1
Sandri,Farrell,1
Sandri,Ryś,1
Sandri,Harvey,1
Sandri,Advincula,1
Sarah,Mamberti,4
Sarah,Rugambwa,3
Sarah,Patabendige Don,2
Sarah,Woelki,1
Sarah,Sturla Berhouet,2
Sarah,Nichols,1
Sarah,Roche,2
Sarah,Kutwa,1
Sarah,Scherer,1
Sarah,Krajewski,1
Sarah,Baldisseri,1
Sarah,Tscherrig,2
Sarah,Marengo,1
Sarah,Czerny,1
Sarah,Aviz,1
Sarah,Calcagno,1
Sarah,Ghirlanda,1
Sarah,Kovithavanij,1
Sarah,Ryś,1
Sarah,Ouédraogo,2
Sarah,Souraphiel,1
Sarah,Filoni,2
Sarah,Bo,1
Sarah,López Romero,1
Sarah,Erdő,2
Sarah,Njue,1
Sarah,Robles Ortega,1
Sarah,You Heung-Sik,2
Sarah,Dolan,2
Sarah,Prevost,2
Sarah,Koch,2
Sarah,Tsarahazana,1
Sarah,Parolin,3
Sarah,Zenari,1
Sarah,Farrell,2
Sarah,Suharyo Hardjoatmodjo,1
Sarah,Nzapalainga,1
Sarah,Harvey,2
Sarah,Mureşan,1
Sarah,Mangkhanekhoun,1
Sarah,Sako,1
Sarah,Poli,1
Sarah,Kambanda,1
Sarah,Baselios,1
Sarah,Pizzaballa,1
Sarah,Cupich,1
Sarah,Mafi,1
Sarah,Piacenza,2
Sarah,Bertello,1
Sarah,Collins,1
Sarah,Fernández,2
Sarah,Turkson,2
Sarah,Semeraro,3
Sarah,Petrocchi,1
Sarah,Tempesta,2
Sarah,Ryłko,1
Sarah,Lacroix,1
Sarah,Ferrão,1
Sarah,Arborelius,1
Sarah,Betori,1
Sarah,Schönborn,2
Sarah,Ladaria Ferrer,1
Sarah,Tagle,3
Sarah,Rossi,1
Sarah,Marx,1
Sarah,Bozanić,2
Sarah,Grech,1
Sarah,Burke,1
Sarah,Furtado,2
Sarah,Bertone,1
Sarah,Dew,2
Sarah,Brislin,1
Sarah,Raï,1
Sarah,Aós Braco,1
Castillo Mattasoglio,Cipriani Thorne,1
Castillo Mattasoglio,Barreto Jimeno,1
Barreto Jimeno,Krajewski,1
Barreto Jimeno,Poola,1
Barreto Jimeno,Mcelroy,1
Barreto Jimeno,Francis,1
Barreto Jimeno,Mangkhanekhoun,1
López Romero,Omella,1
López Romero,Fernández Artime,1
López Romero,Rugambwa,1
López Romero,Krajewski,1
López Romero,Mamberti,1
López Romero,Czerny,1
López Romero,Bo,1
López Romero,Sako,1
López Romero,Aveline,1
López Romero,Patabendige Don,1
López Romero,Woelki,1
López Romero,Sturla Berhouet,1
López Romero,Baselios,1
López Romero,Roche,1
López Romero,Cupich,1
López Romero,Aviz,1
López Romero,Piacenza,1
López Romero,Turkson,1
López Romero,Chow Sau-Yan,1
López Romero,Semeraro,1
López Romero,Koovakad,1
López Romero,Ryś,1
